POST	2.2/amazon/networks/{network}/account_unlink
POST	2.2/amazon/networks/{network}/preauthorized_code
POST	2.2/conversations/token
POST	2.2/eeros
POST	2.2/eeros/networks/{networkId}/notify_swap
POST	2.2/eeros/{id}/action
POST	2.2/eeros/{id}/nightlight/override
POST	2.2/eeros/{id}/ports/{interface_number}/action
POST	2.2/eeros/{serial}/led_cycle
POST	2.2/eeros/{serial}/pppoe
POST	2.2/inviteQuery
POST	2.2/license_keys
POST	2.2/log
POST	2.2/login
POST	2.2/login/amazon
POST	2.2/login/refresh
POST	2.2/login/resend
POST	2.2/login/verify
POST	2.2/logout
POST	2.2/networks/{id}/debug_action
POST	2.2/networks/{id}/node_setup
POST	2.2/networks/{id}/thread
POST	2.2/networks/{networkId}/backup_access_points
POST	2.2/networks/{networkId}/backup_access_points/connectivity_check
POST	2.2/networks/{networkId}/backup_access_points/rearrange
POST	2.2/networks/{networkId}/backup_access_points/ssid_discovery
POST	2.2/networks/{networkId}/file/import/job
POST	2.2/networks/{networkId}/holding_state
POST	2.2/networks/{networkId}/invites
POST	2.2/networks/{networkId}/invites/cancel_pending_admin
POST	2.2/networks/{networkId}/invites/response
POST	2.2/networks/{networkId}/member_promotion
POST	2.2/networks/{networkId}/power_saving/schedules
POST	2.2/organizations/self/payment_account
POST	2.2/partners/encryptme
POST	2.2/partners/guardian
POST	2.2/partners/guardian/networks/{networkId}/pet
POST	2.2/partners/upsells/authentication_methods
POST	2.2/partners/upsells/orders
POST	2.2/premium/customer/plans
POST	2.2/premium/in_app_payments/offers/{networkId}
POST	2.2/register
POST	2.2/register/email/resend
POST	2.2/register/phone/resend
POST	2.2/register/verify
POST	2.2/subscription_referral/email
POST	2.2/util/generatepassword
POST	2.2/zendesk/create
PUT	/2.3/networks/{id}/devices/secondary_wan_config
PUT	/2.3/networks/{id}/devices/{mac}
PUT	/2.3/networks/{networkId}/multistaticip
PUT	/test/networks/all/dnsprovider
PUT	2.2/account/consents
PUT	2.2/account/email
PUT	2.2/account/license_activation_consent
PUT	2.2/account/name
PUT	2.2/account/phone
PUT	2.2/account/push_settings
PUT	2.2/account/trust
PUT	2.2/conversations/feedbacks
PUT	2.2/networks/{id}/devices/{mac}
PUT	2.2/networks/{id}/devices/{mac}/labels
PUT	2.2/networks/{id}/fast_transition
PUT	2.2/networks/{id}/flags/{name}
PUT	2.2/networks/{id}/label?labelType=SpecialMarket
PUT	2.2/networks/{id}/label?labelType=specialMarket
PUT	2.2/networks/{id}/notifications
PUT	2.2/networks/{id}/passpoint/enabled
PUT	2.2/networks/{id}/subnets_config
PUT	2.2/networks/{id}/subnets_config/dns_policies/content_filters
PUT	2.2/networks/{id}/thread
PUT	2.2/networks/{networkId}/auto_setup_mode
PUT	2.2/networks/{networkId}/backup_access_points/{backupNetworkId}
PUT	2.2/networks/{networkId}/backupinternet
PUT	2.2/networks/{networkId}/business_guest_network
PUT	2.2/networks/{networkId}/captive_portal/configuration
PUT	2.2/networks/{networkId}/captive_portal/subnet_id/GUEST
PUT	2.2/networks/{networkId}/data_usage/report_settings
PUT	2.2/networks/{networkId}/invites/{inviteId}
PUT	2.2/networks/{networkId}/mlo_mode
PUT	2.2/networks/{networkId}/network_customer_type
PUT	2.2/networks/{networkId}/power_saving
PUT	2.2/networks/{networkId}/power_saving/schedules/{scheduleId}
PUT	2.2/networks/{networkId}/promotions
PUT	2.2/networks/{networkId}/settings
PUT	2.2/networks/{network}/ac_compat
PUT	2.2/networks/{network}/ddns/disable
PUT	2.2/networks/{network}/ddns/enable
PUT	2.2/networks/{network}/dns_policies/network/allowed
PUT	2.2/networks/{network}/dns_policies/network/allowed/cnames
PUT	2.2/networks/{network}/dns_policies/network/blocked
PUT	2.2/networks/{network}/dns_policies/profiles/allowed
PUT	2.2/networks/{network}/dns_policies/profiles/allowed/cnames
PUT	2.2/networks/{network}/dns_policies/profiles/blocked
PUT	2.2/networks/{network}/dns_policies/profiles/{profile}/applications/blocked
PUT	2.2/networks/{network}/proxied_nodes
PUT	2.2/networks/{network}/simple_setup/vendors/{vendor}
PUT	2.2/networks/{network}/temporary_flags/{flagName}
PUT	2.2/partners/upsells/authentication
PUT	2.2/register
PUT	2.2/subscription_referrals
